iter	RMSE
0	36.97249271
1	35.437493
2	34.15977824
3	32.94722679
4	31.84561065
5	30.87169824
6	30.08214136
7	29.3645067
8	28.78437129
9	28.26864137
10	27.81338203
11	27.40859172
12	27.05944462
13	26.75181987
14	26.46158274
15	26.20447686
16	25.98982356
17	25.79193494
18	25.60009736
19	25.46388837
20	25.30021615
21	25.15400607
22	25.02194846
23	24.88912269
24	24.67461893
25	24.56673794
26	24.4526485
27	24.40704977
28	24.33218417
29	24.28940109
30	24.17752699
31	24.08623251
32	24.05420507
33	24.03098675
34	23.96814993
35	23.89315417
36	23.83558169
37	23.70585158
38	23.57580783
39	23.51710819
40	23.43484887
41	23.30606664
42	23.25193945
43	23.16638984
44	23.05915325
45	23.02032105
46	22.95291426
47	22.90113211
48	22.85028404
49	22.80019576
50	22.74231916
51	22.72518212
52	22.67412861
53	22.62364469
54	22.55154079
55	22.49930491
56	22.4508531
57	22.42171083
58	22.39082808
59	22.28439146
60	22.23246487
61	22.19154427
62	22.14400065
63	22.12992144
64	22.08611451
65	21.9908816
66	21.98293882
67	21.94180339
68	21.8925661
69	21.86696331
70	21.8209518
71	21.77181536
72	21.69720396
73	21.66659755
74	21.645941
75	21.57297705
76	21.51284366
77	21.49121795
78	21.44893905
79	21.40347419
80	21.34611045
81	21.27587286
82	21.2094159
83	21.16411185
84	21.11653519
85	21.06652725
86	21.00246299
87	20.9417619
88	20.87370702
89	20.79931232
90	20.74428937
91	20.64570426
92	20.57820387
93	20.54936925
94	20.4941762
95	20.46272443
96	20.40254578
97	20.35080106
98	20.34355477
99	20.29192575
100	20.23081808
101	20.17047162
102	20.09381865
103	20.05743953
104	20.05178271
105	19.99227302
106	19.93442294
107	19.83972348
108	19.80162756
109	19.73198272
110	19.70773832
111	19.65303721
112	19.58482239
113	19.58134795
114	19.50706371
115	19.46143788
116	19.45803931
117	19.41135947
118	19.3602944
119	19.30314776
120	19.23876721
121	19.19069866
122	19.14641095
123	19.06915216
124	19.06637055
125	19.04973617
126	19.01630951
127	18.98796799
128	18.95466631
129	18.89945357
130	18.86021476
131	18.85122211
132	18.84061874
133	18.83863266
134	18.79424818
135	18.7453345
136	18.70869424
137	18.67095501
138	18.60904883
139	18.56662729
140	18.51632858
141	18.45369023
142	18.39608303
143	18.35568068
144	18.29971699
145	18.29755435
146	18.26971598
147	18.20113777
148	18.13178417
149	18.08711441
150	18.02206478
151	17.98825183
152	17.95543214
153	17.91806623
154	17.91356807
155	17.87823535
156	17.83359261
157	17.78748067
158	17.75516064
159	17.72294919
160	17.67930016
161	17.63452011
162	17.58719494
163	17.5554163
164	17.50540553
165	17.44902406
166	17.41300273
167	17.4107439
168	17.35668731
169	17.316842
170	17.27754705
171	17.23336607
172	17.19872274
173	17.15602681
174	17.1230932
175	17.09945484
176	17.05880009
177	17.02122199
178	16.99896473
179	16.97080151
180	16.93701888
181	16.89899126
182	16.86879718
183	16.83713533
184	16.80101667
185	16.77217411
186	16.73411038
187	16.68537061
188	16.63543987
189	16.59440229
190	16.55503523
191	16.53372412
192	16.52075613
193	16.48603231
194	16.45032526
195	16.40359997
196	16.38205226
197	16.34409567
198	16.32011775
199	16.29871922
