iter	Passed	Remaining
0	35	7138
1	68	6749
2	101	6677
3	134	6607
4	168	6569
5	201	6511
6	234	6452
7	267	6412
8	300	6379
9	333	6328
10	366	6303
11	399	6266
12	432	6227
13	466	6203
14	501	6180
15	539	6200
16	577	6218
17	613	6204
18	650	6201
19	687	6189
20	719	6135
21	760	6150
22	793	6107
23	827	6069
24	860	6026
25	894	5984
26	926	5937
27	959	5894
28	993	5855
29	1026	5819
30	1061	5784
31	1094	5744
32	1127	5705
33	1160	5665
34	1194	5632
35	1228	5596
36	1262	5560
37	1294	5520
38	1330	5492
39	1363	5455
40	1397	5420
41	1431	5383
42	1464	5347
43	1498	5312
44	1534	5285
45	1569	5252
46	1606	5230
47	1643	5203
48	1678	5172
49	1712	5138
50	1748	5107
51	1788	5088
52	1826	5066
53	1864	5039
54	1900	5009
55	1934	4974
56	1970	4944
57	2004	4908
58	2040	4875
59	2076	4844
60	2113	4815
61	2151	4788
62	2191	4766
63	2225	4729
64	2260	4694
65	2293	4657
66	2327	4619
67	2362	4586
68	2396	4549
69	2430	4514
70	2468	4485
71	2509	4461
72	2545	4428
73	2584	4400
74	2618	4364
75	2652	4327
76	2687	4293
77	2721	4256
78	2754	4218
79	2787	4180
80	2821	4145
81	2856	4110
82	2890	4074
83	2923	4037
84	2957	4001
85	2992	3966
86	3026	3930
87	3058	3892
88	3092	3856
89	3126	3821
90	3159	3784
91	3193	3748
92	3227	3713
93	3262	3678
94	3295	3642
95	3331	3608
96	3365	3573
97	3399	3538
98	3432	3501
99	3464	3464
100	3498	3429
101	3532	3394
102	3569	3361
103	3604	3327
104	3640	3294
105	3677	3260
106	3713	3227
107	3751	3195
108	3785	3160
109	3819	3124
110	3851	3088
111	3885	3053
112	3918	3017
113	3951	2980
114	3983	2944
115	4017	2909
116	4051	2873
117	4085	2839
118	4120	2804
119	4154	2769
120	4186	2733
121	4220	2698
122	4254	2663
123	4288	2628
124	4321	2592
125	4354	2557
126	4388	2522
127	4421	2486
128	4455	2452
129	4487	2416
130	4521	2381
131	4554	2346
132	4590	2312
133	4624	2277
134	4659	2243
135	4694	2209
136	4729	2175
137	4764	2140
138	4797	2105
139	4837	2073
140	4872	2038
141	4907	2004
142	4943	1970
143	4977	1935
144	5012	1901
145	5024	1858
146	5057	1823
147	5091	1789
148	5127	1755
149	5161	1720
150	5195	1686
151	5230	1651
152	5262	1616
153	5297	1582
154	5329	1547
155	5362	1512
156	5396	1477
157	5429	1443
158	5461	1408
159	5495	1373
160	5528	1339
161	5561	1304
162	5595	1270
163	5629	1235
164	5663	1201
165	5699	1167
166	5732	1132
167	5764	1098
168	5799	1063
169	5834	1029
170	5868	995
171	5902	960
172	5936	926
173	5971	892
174	6004	857
175	6038	823
176	6071	789
177	6104	754
178	6138	720
179	6173	685
180	6207	651
181	6241	617
182	6277	583
183	6314	549
184	6348	514
185	6384	480
186	6417	446
187	6452	411
188	6487	377
189	6522	343
190	6559	309
191	6594	274
192	6627	240
193	6662	206
194	6697	171
195	6733	137
196	6765	103
197	6801	68
198	6835	34
199	6869	0
